Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 07월 14일 13:41:46


날짜/시간 	 #1대기온도 	 #1대기습도 	 #1물체온도
2021-07-14 13:59:00:218	24.5	68.3	25.7
2021-07-14 13:59:02:202	24.4	68.3	25.6
2021-07-14 13:59:04:233	24.5	68.3	25
2021-07-14 13:59:05:233	24.5	68.3	25
2021-07-14 13:59:06:232	24.5	68.3	25
2021-07-14 13:59:07:232	24.5	68.3	25
2021-07-14 13:59:08:232	24.5	68.3	25
2021-07-14 13:59:09:237	24.5	68.2	25
2021-07-14 13:59:10:223	24.5	68.2	25
2021-07-14 13:59:11:238	24.5	68.1	25
2021-07-14 13:59:12:222	24.5	68.1	25
2021-07-14 13:59:13:238	24.5	68.1	25
2021-07-14 13:59:14:222	24.5	68.1	25
2021-07-14 13:59:15:253	24.5	68	25
2021-07-14 13:59:16:222	24.5	68	25
2021-07-14 13:59:17:221	24.5	67.9	25
2021-07-14 13:59:18:237	24.5	67.9	25
2021-07-14 13:59:19:221	24.5	67.9	25
2021-07-14 13:59:20:221	24.5	67.9	25
2021-07-14 13:59:21:223	24.5	67.8	25
2021-07-14 14:02:43:219	24.6	66.7	6540.5
2021-07-14 14:02:44:219	24.6	66.7	24
2021-07-14 14:02:45:219	24.6	66.7	24
2021-07-14 14:02:46:219	24.6	66.7	23.9
2021-07-14 14:02:47:218	24.6	66.7	23.9
2021-07-14 14:02:48:218	24.6	66.7	23.9
2021-07-14 14:02:49:218	24.6	66.7	23.9
2021-07-14 14:02:50:220	24.6	66.6	24
2021-07-14 14:02:51:220	24.6	66.6	24
2021-07-14 14:02:52:219	24.6	66.5	24
2021-07-14 14:02:53:219	24.6	66.5	24.1
2021-07-14 14:02:54:219	24.6	66.4	24.1
2021-07-14 14:02:55:219	24.6	66.4	24.1
2021-07-14 14:02:56:218	24.6	66.3	24.2
2021-07-14 14:02:57:218	24.6	66.3	24.2
2021-07-14 14:02:58:234	24.6	66.1	24.3
2021-07-14 14:02:59:218	24.6	66.1	24.3
2021-07-14 14:03:00:217	24.6	65.9	24.3
2021-07-14 14:03:01:219	24.6	65.9	24.3
2021-07-14 14:03:03:203	24.6	65.8	24.4
2021-07-14 14:03:07:233	24.6	65.5	24.6
2021-07-14 14:03:08:217	24.6	65.4	24.6
2021-07-14 14:03:09:226	24.6	65.4	24.7
2021-07-14 14:03:10:240	24.6	65.4	24.6
2021-07-14 14:03:11:224	24.6	65.4	24.7
2021-07-14 14:03:12:242	24.6	65.3	24.6
2021-07-14 14:03:13:226	24.6	65.3	24.7
