Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 08월 12일 15:24:51


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h)
2025-08-12	15:25:06[934]	7168	-27392	-22272	284.664461488411	1024	0
2025-08-12	15:25:07[046]	5632	-26880	-24064	281.833645306161	1024	0
2025-08-12	15:25:07[141]	6144	-27648	-21760	282.528807709152	1024	0
2025-08-12	15:25:07[239]	6400	-27904	-22016	282.917812843934	1024	0
2025-08-12	15:25:07[335]	6912	-27648	-23040	284.036243467926	1024	0
2025-08-12	15:25:07[431]	5632	-27648	-23040	281.513831184487	1024	0
2025-08-12	15:25:07[527]	6912	-28160	-23040	283.790866897361	1024	0
2025-08-12	15:25:07[622]	5632	-27904	-22272	281.410983126765	1024	0
2025-08-12	15:25:07[719]	5888	-28928	-23296	281.504815326259	1024	0
2025-08-12	15:25:07[830]	6656	-27392	-22528	283.657642505812	1024	0
2025-08-12	15:25:07[925]	7168	-27136	-23296	284.796762245057	1024	0
2025-08-12	15:25:08[022]	5376	-26624	-23552	281.415839524407	1024	0
2025-08-12	15:25:08[116]	5888	-28416	-22016	281.706436729153	1024	0
2025-08-12	15:25:08[213]	7168	-28416	-22016	284.157632649677	1024	0
2025-08-12	15:25:08[312]	5120	-27136	-22016	280.684912400003	1024	0
2025-08-12	15:25:08[405]	6912	-29696	-22272	283.102789941262	1024	0
2025-08-12	15:25:08[516]	5632	-28672	-22272	281.113040535948	1024	0
2025-08-12	15:25:08[614]	5632	-27648	-22272	281.513831184487	1024	0
2025-08-12	15:25:08[723]	6656	-26624	-22272	284.036243467926	1024	0
2025-08-12	15:25:08[808]	6912	-28416	-22272	283.671307132196	1024	0
2025-08-12	15:25:08[904]	7168	-27904	-22016	284.406685156437	1024	0
2025-08-12	15:25:09[002]	6400	-28672	-21504	282.582962494077	1024	0
2025-08-12	15:25:09[096]	6400	-28416	-23040	282.692665545118	1024	0
2025-08-12	15:25:09[193]	7168	-27136	-22528	284.796762245057	1024	0
2025-08-12	15:25:09[302]	6656	-27648	-22272	283.535856369134	1024	0
2025-08-12	15:25:09[398]	6912	-27904	-22272	283.91249467652	1024	0
2025-08-12	15:25:09[496]	7168	-27904	-22272	284.406685156437	1024	0
2025-08-12	15:25:09[589]	7168	-27904	-22784	284.406685156437	1024	0
2025-08-12	15:25:09[687]	7424	-27392	-22272	285.164460899738	1024	0
2025-08-12	15:25:09[781]	7168	-27648	-22016	284.53445508054	1024	0
2025-08-12	15:25:09[876]	5888	-27648	-22016	282.022276686184	1024	0
2025-08-12	15:25:09[989]	6912	-27648	-21760	284.036243467926	1024	0
2025-08-12	15:25:10[087]	5888	-27392	-21504	282.131321066632	1024	0
2025-08-12	15:25:10[182]	6144	-26368	-21248	283.116436125391	1024	0
2025-08-12	15:25:10[277]	5888	-28416	-22016	281.706436729153	1024	0
2025-08-12	15:25:10[377]	5376	-28928	-21760	280.527786119964	1024	0
2025-08-12	15:25:10[469]	7424	-27392	-20480	285.164460899738	1024	0
2025-08-12	15:25:10[566]	6400	-28160	-21504	282.804266065287	1024	0
2025-08-12	15:25:10[681]	6656	-27904	-21760	283.416183481841	1024	0
2025-08-12	15:25:10[771]	6400	-25856	-22528	283.902687114221	1024	0
2025-08-12	15:25:10[867]	5376	-26624	-23296	281.415839524407	1024	0
2025-08-12	15:25:10[965]	7424	-26624	-22784	285.580923848252	1024	0
2025-08-12	15:25:11[058]	6144	-27904	-23040	282.417445790076	1024	0
2025-08-12	15:25:11[156]	5632	-26112	-22784	282.171458208587	1024	0
2025-08-12	15:25:11[251]	6912	-28416	-24320	283.671307132196	1024	0
2025-08-12	15:25:11[364]	7168	-27904	-22016	284.406685156437	1024	0
2025-08-12	15:25:11[460]	7424	-27648	-21248	285.030430523433	1024	0
2025-08-12	15:25:11[559]	6656	-27904	-21504	283.416183481841	1024	0
2025-08-12	15:25:11[656]	6912	-26880	-22528	284.420773127511	1024	0
2025-08-12	15:25:11[756]	5120	-28416	-22528	280.21397298507	1024	0
2025-08-12	15:25:11[847]	6400	-26368	-21248	283.64291477599	1024	0
2025-08-12	15:25:11[942]	6144	-27136	-23040	282.757532160877	1024	0
2025-08-12	15:25:12[039]	5376	-27136	-23040	281.205947507403	1024	0
2025-08-12	15:25:12[135]	7680	-27136	-23040	285.802513953936	1024	0
2025-08-12	15:25:12[230]	6144	-27136	-22784	282.757532160877	1024	0
2025-08-12	15:25:12[344]	5632	-27648	-23040	281.513831184487	1024	0
2025-08-12	15:25:12[453]	6656	-27136	-22016	283.781597235654	1024	0
2025-08-12	15:25:12[537]	5888	-27648	-21760	282.022276686184	1024	0
2025-08-12	15:25:12[634]	5632	-28416	-23040	281.210633128877	1024	0
2025-08-12	15:25:12[730]	5888	-27392	-22272	282.131321066632	1024	0
2025-08-12	15:25:12[826]	5376	-27904	-21248	280.905022045234	1024	0
2025-08-12	15:25:12[923]	5888	-26368	-23552	282.587693381649	1024	0
2025-08-12	15:25:13[017]	6912	-27392	-21760	284.162168055313	1024	0
2025-08-12	15:25:13[130]	7168	-27904	-23808	284.406685156437	1024	0
2025-08-12	15:25:13[227]	7424	-27392	-21760	285.164460899738	1024	0
2025-08-12	15:25:13[321]	6400	-26880	-22528	283.392497753751	1024	0
2025-08-12	15:25:13[417]	6144	-28416	-22272	282.200468727381	1024	0
2025-08-12	15:25:13[513]	5376	-27904	-20992	280.905022045234	1024	0
2025-08-12	15:25:13[609]	7424	-28416	-22016	284.641884541233	1024	0
2025-08-12	15:25:13[706]	6144	-27904	-23296	282.417445790076	1024	0
2025-08-12	15:25:13[802]	4352	-28160	-20736	278.785298717885	1024	0
2025-08-12	15:25:13[914]	3840	-28416	-22272	277.696051722017	1024	0
2025-08-12	15:25:14[009]	7424	-27904	-21504	284.8986954344	1024	0
2025-08-12	15:25:14[110]	6656	-26880	-21248	283.907777809855	1024	0
2025-08-12	15:25:14[208]	6144	-26624	-22272	282.994616791916	1024	0
2025-08-12	15:25:14[302]	6912	-26624	-22272	284.553572790713	1024	0
2025-08-12	15:25:14[399]	5888	-27904	-21760	281.915147071265	1024	0
2025-08-12	15:25:14[493]	5888	-28160	-23040	281.809882957028	1024	0
2025-08-12	15:25:14[590]	7424	-27136	-21760	285.30084557245	1024	0
2025-08-12	15:25:14[687]	5888	-27648	-21248	282.022276686184	1024	0
2025-08-12	15:25:14[800]	6400	-27648	-23040	283.033356325914	1024	0
2025-08-12	15:25:14[894]	6912	-27392	-20992	284.162168055313	1024	0
2025-08-12	15:25:14[990]	6400	-27136	-22528	283.270643876404	1024	0
2025-08-12	15:25:15[089]	5120	-27392	-23296	280.587321318237	1024	0
2025-08-12	15:25:15[182]	3584	-27648	-22016	277.386043151267	1024	0
2025-08-12	15:25:15[278]	6144	-28416	-22784	282.200468727381	1024	0
2025-08-12	15:25:15[374]	6144	-26880	-22528	282.875001559612	1024	0
2025-08-12	15:25:15[486]	6912	-27392	-22528	284.162168055313	1024	0
2025-08-12	15:25:15[582]	5888	-27392	-22016	282.131321066632	1024	0
2025-08-12	15:25:15[677]	5632	-27392	-22784	281.618524352795	1024	0
2025-08-12	15:25:15[775]	7168	-27136	-24064	284.796762245057	1024	0
2025-08-12	15:25:15[870]	5376	-27648	-23552	281.00354085175	1024	0
2025-08-12	15:25:15[967]	6912	-27392	-21760	284.162168055313	1024	0
2025-08-12	15:25:16[062]	6912	-28160	-23552	283.790866897361	1024	0
2025-08-12	15:25:16[159]	5632	-26880	-22528	281.833645306161	1024	0
2025-08-12	15:25:16[271]	6912	-27136	-23296	284.290325081818	1024	0
2025-08-12	15:25:16[365]	5632	-26624	-24064	281.944177188446	1024	0
2025-08-12	15:25:16[463]	6400	-27392	-22272	283.150948680945	1024	0
2025-08-12	15:25:16[559]	4608	-26880	-23552	279.727578551402	1024	0
2025-08-12	15:25:16[662]	6656	-28416	-20480	283.182965158541	1024	0
2025-08-12	15:25:16[759]	7168	-27392	-21504	284.664461488411	1024	0
2025-08-12	15:25:16[858]	6656	-27648	-21248	283.535856369134	1024	0
2025-08-12	15:25:16[954]	5632	-27648	-23808	281.513831184487	1024	0
2025-08-12	15:25:17[050]	6144	-26624	-21760	282.994616791916	1024	0
2025-08-12	15:25:17[146]	5376	-27904	-21248	280.905022045234	1024	0
2025-08-12	15:25:17[241]	5120	-26368	-21504	280.988651096494	1024	0
2025-08-12	15:25:17[338]	5888	-27392	-22528	282.131321066632	1024	0
2025-08-12	15:25:17[434]	5632	-28160	-22016	281.30993247402	1024	0
2025-08-12	15:25:17[545]	6656	-28672	-21760	283.069317896282	1024	0
2025-08-12	15:25:17[642]	7680	-27648	-22272	285.524110996754	1024	0
2025-08-12	15:25:17[737]	7424	-27648	-22016	285.030430523433	1024	0
2025-08-12	15:25:17[836]	5632	-27136	-22272	281.725112015165	1024	0
2025-08-12	15:25:17[930]	5120	-28928	-21504	280.036902453963	1024	0
2025-08-12	15:25:18[026]	6400	-28160	-22528	282.804266065287	1024	0
2025-08-12	15:25:18[121]	7168	-26880	-22272	284.931417178138	1024	0
2025-08-12	15:25:18[233]	5888	-26368	-22528	282.587693381649	1024	0
2025-08-12	15:25:18[329]	6912	-27648	-23040	284.036243467926	1024	0
2025-08-12	15:25:18[425]	5632	-26624	-24064	281.944177188446	1024	0
2025-08-12	15:25:18[527]	6656	-26624	-23552	284.036243467926	1024	0
2025-08-12	15:25:18[622]	6400	-27136	-22272	283.270643876404	1024	0
2025-08-12	15:25:18[719]	7424	-25600	-23040	286.172159015783	1024	0
2025-08-12	15:25:18[821]	6656	-26880	-22528	283.907777809855	1024	0
2025-08-12	15:25:18[916]	5632	-27648	-23552	281.513831184487	1024	0
2025-08-12	15:25:19[018]	6656	-27904	-23040	283.416183481841	1024	0
2025-08-12	15:25:19[115]	5888	-27648	-23296	282.022276686184	1024	0
2025-08-12	15:25:19[211]	6144	-27904	-21760	282.417445790076	1024	0
2025-08-12	15:25:19[307]	5888	-26624	-22528	282.470461721669	1024	0
2025-08-12	15:25:19[402]	6144	-27648	-22272	282.528807709152	1024	0
2025-08-12	15:25:19[499]	7168	-28672	-22272	284.036243467926	1024	0
2025-08-12	15:25:19[595]	7168	-26368	-22272	285.208039190635	1024	0
2025-08-12	15:25:19[690]	5376	-28160	-21760	280.80823094032	1024	0
2025-08-12	15:25:19[801]	5376	-28160	-21760	280.80823094032	1024	0
2025-08-12	15:25:19[904]	6656	-27392	-23296	283.657642505812	1024	0
2025-08-12	15:25:19[996]	6400	-27392	-22528	283.150948680945	1024	0
2025-08-12	15:25:20[093]	6912	-26880	-20992	284.420773127511	1024	0
2025-08-12	15:25:20[189]	6912	-26624	-23296	284.553572790713	1024	0
2025-08-12	15:25:20[285]	5632	-28160	-22784	281.30993247402	1024	0
2025-08-12	15:25:20[381]	5888	-27648	-22784	282.022276686184	1024	0
2025-08-12	15:25:20[476]	5888	-29440	-23552	281.30993247402	1024	0
2025-08-12	15:25:20[589]	6400	-26880	-22272	283.392497753751	1024	0
2025-08-12	15:25:20[685]	7424	-27904	-21248	284.8986954344	1024	0
2025-08-12	15:25:20[781]	6144	-28416	-20480	282.200468727381	1024	0
2025-08-12	15:25:20[877]	7680	-27904	-21760	285.388467832759	1024	0
2025-08-12	15:25:20[985]	6656	-27136	-22528	283.781597235654	1024	0
2025-08-12	15:25:21[076]	6912	-28928	-21504	283.438188158351	1024	0
2025-08-12	15:25:21[173]	6144	-27904	-22784	282.417445790076	1024	0
2025-08-12	15:25:21[270]	6144	-27392	-22784	282.64215232789	1024	0
2025-08-12	15:25:21[366]	6400	-28416	-22272	282.692665545118	1024	0
2025-08-12	15:25:21[501]	6656	-26624	-23040	284.036243467926	1024	0
2025-08-12	15:25:21[567]	5888	-26880	-23040	282.355359865084	1024	0
2025-08-12	15:25:21[667]	7680	-27648	-21760	285.524110996754	1024	0
2025-08-12	15:25:21[760]	5376	-28672	-20992	280.619655276155	1024	0
2025-08-12	15:25:21[856]	4864	-27904	-22272	279.887988815578	1024	0
2025-08-12	15:25:21[951]	6144	-28672	-20992	282.094757077012	1024	0
2025-08-12	15:25:22[047]	7168	-27904	-22016	284.406685156437	1024	0
2025-08-12	15:25:22[159]	5888	-27904	-22016	281.915147071265	1024	0
2025-08-12	15:25:22[254]	5120	-26880	-23552	280.784297867563	1024	0
2025-08-12	15:25:22[351]	5888	-27904	-22784	281.915147071265	1024	0
2025-08-12	15:25:22[447]	5632	-27648	-22272	281.513831184487	1024	0
2025-08-12	15:25:22[543]	5376	-27904	-22016	280.905022045234	1024	0
2025-08-12	15:25:22[640]	4608	-27392	-22016	279.549133928736	1024	0
2025-08-12	15:25:22[735]	5632	-26880	-21248	281.833645306161	1024	0
2025-08-12	15:25:22[847]	6144	-27392	-22272	282.64215232789	1024	0
2025-08-12	15:25:22[943]	7424	-27648	-22528	285.030430523433	1024	0
2025-08-12	15:25:23[041]	5632	-27648	-22272	281.513831184487	1024	0
2025-08-12	15:25:23[136]	6400	-27392	-21760	283.150948680945	1024	0
2025-08-12	15:25:23[231]	6912	-26624	-22272	284.553572790713	1024	0
2025-08-12	15:25:23[326]	6144	-27904	-22528	282.417445790076	1024	0
2025-08-12	15:25:23[424]	6144	-27648	-23040	282.528807709152	1024	0
2025-08-12	15:25:23[519]	5888	-27392	-21760	282.131321066632	1024	0
2025-08-12	15:25:23[631]	5632	-28160	-22272	281.30993247402	1024	0
2025-08-12	15:25:23[730]	6912	-26880	-22016	284.420773127511	1024	0
2025-08-12	15:25:23[824]	5888	-26112	-23040	282.707113501317	1024	0
2025-08-12	15:25:23[919]	6144	-28160	-22528	282.308015817428	1024	0
2025-08-12	15:25:24[018]	6400	-26368	-21248	283.64291477599	1024	0
2025-08-12	15:25:24[111]	5888	-27392	-22016	282.131321066632	1024	0
