Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 06월 24일 16:46:40


날짜 	시간 	X축 	Y축 	Z축 	방위 
2025-06-24	16:46:43[883]	-66	8	-112	173.088772880975
2025-06-24	16:46:43[923]	-42	8	-172	169.215702132437
2025-06-24	16:46:43[953]	-9	14	-205	122.735226272108
2025-06-24	16:46:43[983]	48	15	-239	17.3540246362613
2025-06-24	16:46:44[014]	114	3	-230	1.50743575877497
2025-06-24	16:46:44[024]	170	-11	-182	356.297787146801
2025-06-24	16:46:44[064]	191	-21	-103	353.725665442918
2025-06-24	16:46:44[087]	175	-38	-53	347.748819576601
2025-06-24	16:46:44[121]	159	-48	-21	343.201628218695
2025-06-24	16:46:44[155]	143	-48	-2	341.444934414868
2025-06-24	16:46:44[188]	126	-53	5	337.186677893448
2025-06-24	16:46:44[208]	115	-51	13	336.083754582381
2025-06-24	16:46:44[231]	117	-51	14	336.447736327105
2025-06-24	16:46:44[265]	105	-63	19	329.036243467926
2025-06-24	16:46:44[321]	101	-58	26	330.133083148487
2025-06-24	16:46:44[321]	96	-59	25	328.425809249715
2025-06-24	16:46:44[365]	95	-61	26	327.295266422998
2025-06-24	16:46:44[385]	89	-59	30	326.458752345877
2025-06-24	16:46:44[418]	93	-57	24	328.495733280796
2025-06-24	16:46:44[448]	91	-56	27	328.392497753751
2025-06-24	16:46:44[475]	90	-55	27	328.570434385161
2025-06-24	16:46:44[515]	88	-57	27	327.067768958653
2025-06-24	16:46:44[520]	96	-60	28	327.994616791916
2025-06-24	16:46:44[556]	92	-56	21	328.671307132196
2025-06-24	16:46:44[599]	97	-59	26	328.690049617465
2025-06-24	16:46:44[609]	99	-63	27	327.528807709152
2025-06-24	16:46:44[643]	106	-56	23	332.152421740212
2025-06-24	16:46:44[673]	115	-53	23	335.256462174523
2025-06-24	16:46:44[707]	131	-58	15	336.118723982391
2025-06-24	16:46:44[740]	142	-56	4	338.477399892093
2025-06-24	16:46:44[767]	172	-54	-11	342.570137182332
2025-06-24	16:46:44[787]	217	-52	-60	346.524240844075
2025-06-24	16:46:44[820]	267	-37	-153	352.11038219172
2025-06-24	16:46:44[854]	257	-25	-295	354.443961576875
2025-06-24	16:46:44[877]	168	-1	-419	359.658957721141
2025-06-24	16:46:44[910]	51	20	-443	21.4129694748718
2025-06-24	16:46:44[943]	-59	31	-400	152.281498371817
2025-06-24	16:46:44[966]	-136	37	-352	164.780535168826
2025-06-24	16:46:44[998]	-209	48	-286	167.06546264728
2025-06-24	16:46:45[028]	-252	47	-153	169.435265176244
2025-06-24	16:46:45[054]	-225	24	7	173.911471845805
2025-06-24	16:46:45[088]	-134	-7	116	182.990344975165
2025-06-24	16:46:45[120]	-56	-32	153	209.744881296942
2025-06-24	16:46:45[153]	-1	-39	149	268.531199285614
2025-06-24	16:46:45[173]	32	-54	142	300.650667957053
2025-06-24	16:46:45[203]	52	-52	131	315
2025-06-24	16:46:45[234]	62	-52	124	320.013113755036
2025-06-24	16:46:45[270]	70	-54	125	322.352379359892
2025-06-24	16:46:45[300]	67	-52	117	322.184267392427
2025-06-24	16:46:45[327]	64	-62	126	315.909380449199
2025-06-24	16:46:45[364]	59	-54	119	317.533558888395
2025-06-24	16:46:45[377]	43	-50	122	310.695531039492
2025-06-24	16:46:45[410]	20	-49	131	292.203478532057
2025-06-24	16:46:45[443]	-10	-37	127	254.875992691689
2025-06-24	16:46:45[476]	-66	-17	108	194.444035724492
2025-06-24	16:46:45[507]	-134	2	46	179.144902603733
2025-06-24	16:46:45[542]	-195	34	-63	170.109395058242
2025-06-24	16:46:45[555]	-221	52	-207	166.759480084813
2025-06-24	16:46:45[588]	-199	68	-351	161.134263960069
2025-06-24	16:46:45[622]	-157	84	-478	151.851800152138
2025-06-24	16:46:45[645]	-60	88	-620	124.286876977209
2025-06-24	16:46:45[678]	120	74	-670	31.6607510966366
2025-06-24	16:46:45[711]	343	25	-536	4.16870569139814
2025-06-24	16:46:45[751]	397	-5	-337	359.278428836584
2025-06-24	16:46:45[761]	332	-36	-119	353.811384036758
2025-06-24	16:46:45[795]	231	-51	-34	347.550003492193
2025-06-24	16:46:45[825]	183	-49	-2	345.010137640318
2025-06-24	16:46:45[855]	148	-59	17	338.265368781212
2025-06-24	16:46:45[895]	122	-48	18	338.52320902046
2025-06-24	16:46:45[919]	115	-54	29	334.846882861526
2025-06-24	16:46:45[958]	108	-53	24	333.860931899565
2025-06-24	16:46:45[968]	98	-58	28	329.381394591091
2025-06-24	16:46:45[998]	100	-58	33	329.886266849018
2025-06-24	16:46:46[039]	87	-52	26	329.133190548863
2025-06-24	16:46:46[059]	91	-58	28	327.488085768949
2025-06-24	16:46:46[092]	95	-54	36	330.385188353654
2025-06-24	16:46:46[122]	89	-59	32	326.458752345877
2025-06-24	16:46:46[152]	93	-56	31	328.945728883647
2025-06-24	16:46:46[189]	92	-61	28	326.453891416092
2025-06-24	16:46:46[203]	92	-59	28	327.327770711317
2025-06-24	16:46:46[236]	92	-57	34	328.219084907017
2025-06-24	16:46:46[263]	100	-57	25	330.316859820877
2025-06-24	16:46:46[303]	96	-51	26	332.02052561152
2025-06-24	16:46:46[313]	98	-55	21	330.697792517861
2025-06-24	16:46:46[353]	100	-55	29	331.189206257027
2025-06-24	16:46:46[383]	95	-56	24	329.481769321125
2025-06-24	16:46:46[413]	95	-55	22	329.931417178138
2025-06-24	16:46:46[444]	89	-58	24	326.908300061318
2025-06-24	16:46:46[464]	92	-55	27	329.12791663692
2025-06-24	16:46:46[497]	90	-59	17	326.752932250664
2025-06-24	16:46:46[525]	98	-60	22	328.523160650416
2025-06-24	16:46:46[560]	90	-51	16	330.461217740442
2025-06-24	16:46:46[590]	92	-52	21	330.524110996754
2025-06-24	16:46:46[606]	97	-57	24	329.560275619357
2025-06-24	16:46:46[640]	98	-51	22	332.50716304846
2025-06-24	16:46:46[673]	90	-57	22	327.652556500558
2025-06-24	16:46:46[703]	95	-53	20	330.843082117687
2025-06-24	16:46:46[733]	91	-55	19	328.851419013805
2025-06-24	16:46:46[748]	97	-57	18	329.560275619357
2025-06-24	16:46:46[778]	105	-58	10	331.084575658373
2025-06-24	16:46:46[811]	106	-52	2	333.868999455061
2025-06-24	16:46:46[843]	94	-51	-4	331.51781425296
2025-06-24	16:46:46[879]	98	-49	-13	333.434948822922
2025-06-24	16:46:46[889]	78	-48	-22	328.392497753751
2025-06-24	16:46:46[929]	69	-52	-24	322.997473471804
2025-06-24	16:46:46[959]	55	-50	-9	317.726310993906
2025-06-24	16:46:46[990]	52	-52	-1	315
2025-06-24	16:46:47[020]	56	-55	13	315.516164229765
2025-06-24	16:46:47[060]	55	-50	24	317.726310993906
2025-06-24	16:46:47[070]	58	-51	21	318.67449952083
2025-06-24	16:46:47[100]	62	-59	28	316.420265546399
2025-06-24	16:46:47[136]	60	-55	27	317.489552921999
2025-06-24	16:46:47[163]	66	-58	29	318.691385986451
2025-06-24	16:46:47[177]	57	-56	30	315.507029060915
2025-06-24	16:46:47[216]	61	-51	35	320.102165252358
2025-06-24	16:46:47[244]	69	-54	28	321.952957468174
2025-06-24	16:46:47[273]	67	-62	27	317.219655553198
2025-06-24	16:46:47[313]	66	-55	31	320.194428907735
2025-06-24	16:46:47[324]	67	-54	28	321.132222497679
2025-06-24	16:46:47[354]	57	-53	30	317.082565279731
2025-06-24	16:46:47[384]	59	-50	19	319.720136931044
2025-06-24	16:46:47[424]	57	-56	25	315.507029060915
2025-06-24	16:46:47[455]	55	-54	19	315.525634606458
2025-06-24	16:46:47[465]	52	-50	8	316.123302714075
2025-06-24	16:46:47[497]	53	-47	-1	318.433630362451
2025-06-24	16:46:47[536]	61	-49	-15	321.225829064426
2025-06-24	16:46:47[565]	72	-49	-8	325.762537223142
2025-06-24	16:46:47[598]	68	-42	-7	328.298570330494
2025-06-24	16:46:47[611]	82	-47	-11	330.179927434526
2025-06-24	16:46:47[641]	93	-54	-11	329.858614447925
2025-06-24	16:46:47[679]	92	-48	-1	332.447188423282
2025-06-24	16:46:47[709]	91	-54	8	329.314826910405
2025-06-24	16:46:47[736]	92	-52	9	330.524110996754
2025-06-24	16:46:47[776]	84	-53	18	327.750025835816
2025-06-24	16:46:47[793]	89	-53	19	329.225963898752
2025-06-24	16:46:47[823]	90	-59	21	326.752932250664
2025-06-24	16:46:47[853]	93	-55	23	329.400021306791
2025-06-24	16:46:47[883]	83	-56	32	325.992507580268
2025-06-24	16:46:47[913]	89	-53	29	329.225963898752
2025-06-24	16:46:47[933]	90	-57	19	327.652556500558
2025-06-24	16:46:47[964]	78	-60	34	322.431407971173
2025-06-24	16:46:47[994]	82	-58	28	324.727578551402
2025-06-24	16:46:48[025]	78	-57	24	323.841814560192
2025-06-24	16:46:48[063]	83	-61	27	323.686354581237
2025-06-24	16:46:48[083]	81	-64	26	321.686909326182
2025-06-24	16:46:48[103]	81	-58	27	324.395466019567
2025-06-24	16:46:48[133]	84	-56	30	326.30993247402
2025-06-24	16:46:48[163]	82	-51	23	328.120403152977
2025-06-24	16:46:48[203]	83	-54	29	326.951875130025
2025-06-24	16:46:48[233]	90	-59	27	326.752932250664
2025-06-24	16:46:48[243]	83	-55	22	326.469530332867
2025-06-24	16:46:48[293]	86	-58	26	326.00354085175
2025-06-24	16:46:48[313]	86	-55	26	327.39966642631
2025-06-24	16:46:48[333]	92	-47	18	332.938893862527
2025-06-24	16:46:48[367]	86	-50	8	329.826479970356
