Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 11월 03일 13:31:49


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h) 	rel 	abs_rel 	threshold_t 	state	X축 	Y축 	Z축 	방위 	분당교통량(min / count) 	차량속도(km / h) 	rel 	abs_rel 	threshold_t 	state	최종 분당교통량(min / count) 	최종 차량속도(km / h)
2025-11-03	14:19:29[777]	0	0	0	0	0	0	0	0	0	0	120	192	-286	57.9946167919165	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:29[969]	0	0	0	0	0	0	0	0	0	0	116	192	-292	58.8610275630211	0	0	-452	452	102	1	0	0.0
2025-11-03	14:19:30[160]	0	0	0	0	0	0	0	0	0	0	119	182	-291	56.8214883406073	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:30[377]	0	0	0	0	0	0	0	0	0	0	112	182	-289	58.3924977537511	0	0	-449	449	102	1	0	0.0
2025-11-03	14:19:30[561]	0	0	0	0	0	0	0	0	0	0	116	192	-288	58.8610275630211	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:30[755]	0	0	0	0	0	0	0	0	0	0	113	186	-287	58.7201943042171	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:30[944]	0	0	0	0	0	0	0	0	0	0	116	191	-281	58.7284410133881	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:31[153]	0	0	0	0	0	0	0	0	0	0	119	193	-287	58.3428336984231	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:31[343]	0	0	0	0	0	0	0	0	0	0	114	189	-287	58.9026871142206	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:31[536]	0	0	0	0	0	0	0	0	0	0	117	186	-286	57.8287828714554	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:31[744]	0	0	0	0	0	0	0	0	0	0	113	192	-296	59.5214155314905	0	0	-456	456	102	1	0	0.0
2025-11-03	14:19:31[935]	0	0	0	0	0	0	0	0	0	0	113	187	-296	58.8563515016985	0	0	-456	456	102	1	0	0.0
2025-11-03	14:19:32[129]	0	0	0	0	0	0	0	0	0	0	123	191	-292	57.2193129232194	0	0	-452	452	102	1	0	0.0
2025-11-03	14:19:32[337]	0	0	0	0	0	0	0	0	0	0	114	191	-284	59.1687700924458	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:32[527]	0	0	0	0	0	0	0	0	0	0	116	189	-288	58.4602032224002	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:32[719]	0	0	0	0	0	0	0	0	0	0	104	191	-285	61.4315922747505	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:32[927]	0	0	0	0	0	0	0	0	0	0	118	192	-284	58.4258092497147	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:33[120]	0	0	0	0	0	0	0	0	0	0	121	186	-281	56.9544828024931	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:33[314]	0	0	0	0	0	0	0	0	0	0	115	188	-283	58.5457857398707	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:33[503]	0	0	0	0	0	0	0	0	0	0	123	187	-288	56.6649203697914	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:33[712]	0	0	0	0	0	0	0	0	0	0	114	198	-294	60.0684881594922	0	0	-454	454	102	1	0	0.0
2025-11-03	14:19:33[903]	0	0	0	0	0	0	0	0	0	0	112	189	-285	59.3493320429471	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:34[112]	0	0	0	0	0	0	0	0	0	0	111	189	-282	59.5742161980387	0	0	-442	442	102	1	0	0.0
2025-11-03	14:19:34[304]	0	0	0	0	0	0	0	0	0	0	118	198	-288	59.2067661177604	0	0	-448	448	102	1	0	0.0
