Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2020년 06월 16일 13:33:07


날짜/시간 	 Wind_Driction 	 Wind_Speed
2020-06-16 13:36:34:177	261	0.3030331
2020-06-16 13:36:35:183	265	0.3645074
2020-06-16 13:36:36:173	277	0.3785851
2020-06-16 13:36:37:174	282	0.3424509
2020-06-16 13:36:38:175	287	0.342854
2020-06-16 13:36:39:170	285	0.4694584
2020-06-16 13:36:40:174	284	0.539013
2020-06-16 13:36:41:177	288	0.4172312
2020-06-16 13:36:42:170	268	0.3732756
2020-06-16 13:36:43:178	260	0.431469
2020-06-16 13:36:44:195	267	0.4162448
2020-06-16 13:36:45:199	270	0.2827071
2020-06-16 13:36:46:194	267	0.2948386
2020-06-16 13:36:47:199	267	0.3278456
2020-06-16 13:36:48:204	265	0.2736547
2020-06-16 13:36:49:200	263	0.2743177
2020-06-16 13:36:50:188	265	0.3084787
2020-06-16 13:36:51:191	277	0.4069452
2020-06-16 13:36:52:185	282	0.4088249
2020-06-16 13:36:53:190	270	0.3402286
2020-06-16 13:36:54:180	277	0.4082115
2020-06-16 13:36:55:186	275	0.4412116
2020-06-16 13:36:56:191	267	0.4002471
2020-06-16 13:36:57:181	265	0.3557473
2020-06-16 13:36:58:192	268	0.3453354
2020-06-16 13:36:59:192	278	0.3353884
2020-06-16 13:37:00:182	281	0.3798521
2020-06-16 13:37:01:189	284	0.3655322
2020-06-16 13:37:02:195	302	0.2714292
2020-06-16 13:37:03:188	303	0.2500802
2020-06-16 13:37:04:195	295	0.232562
2020-06-16 13:37:05:197	295	0.1971727
2020-06-16 13:37:06:187	295	0
2020-06-16 13:37:07:193	295	0
2020-06-16 13:37:08:181	295	0
2020-06-16 13:37:09:189	295	0.2285821
2020-06-16 13:37:10:176	295	0.2301662
2020-06-16 13:37:11:182	262	0.3019421
2020-06-16 13:37:12:188	248	0.3547454
2020-06-16 13:37:13:197	236	0.292001
2020-06-16 13:37:14:186	231	0.1880544
2020-06-16 13:37:15:192	231	0.2364917
2020-06-16 13:37:16:200	253	0.3247835
2020-06-16 13:37:17:188	271	0.3360097
2020-06-16 13:37:18:196	278	0.350668
2020-06-16 13:37:19:196	263	0.3150898
2020-06-16 13:37:20:190	261	0.2872103
2020-06-16 16:11:51:178	273	0
2020-06-16 16:11:52:173	273	0
2020-06-16 16:11:53:180	273	0
2020-06-16 16:11:54:173	273	0
2020-06-16 16:11:55:166	273	0
2020-06-16 16:11:56:171	298	0.2688241
2020-06-16 16:11:57:167	301	0.2139845
2020-06-16 16:11:58:171	301	0.1876212
2020-06-16 16:11:59:178	301	0
2020-06-16 16:12:00:173	301	0
2020-06-16 16:12:01:184	301	0.2359397
2020-06-16 16:12:02:174	288	0.3737136
2020-06-16 16:12:03:162	286	0.3876266
2020-06-16 16:12:04:173	287	0.3490965
2020-06-16 16:12:05:163	282	0.3922296
2020-06-16 16:12:06:170	283	0.2909158
2020-06-16 16:12:07:182	284	0
2020-06-16 16:12:08:170	284	0
2020-06-16 16:12:09:177	284	0
2020-06-16 16:12:10:173	296	0.2495093
2020-06-16 16:12:11:177	296	0.1754157
2020-06-16 16:12:12:169	296	0.2208335
2020-06-16 16:12:13:177	285	0.3438271
2020-06-16 16:12:14:173	286	0.3595014
2020-06-16 16:12:15:176	284	0.3656492
2020-06-16 16:12:16:172	278	0.3869522
2020-06-16 16:12:17:164	282	0.3195687
2020-06-16 16:12:18:172	285	0.3024149
2020-06-16 16:12:19:167	289	0.3156116
2020-06-16 16:12:20:175	297	0.3049361
2020-06-16 16:12:21:183	296	0.3247644
2020-06-16 16:12:22:176	288	0.37492
2020-06-16 16:12:23:163	283	0.3502275
2020-06-16 16:12:24:176	291	0.2500351
2020-06-16 16:13:47:386	297	0.2694189
2020-06-16 16:13:48:393	297	0.1914048
2020-06-16 16:13:49:381	297	0.2367874
2020-06-16 16:13:50:389	276	0.2946495
2020-06-16 16:13:51:380	281	0.2919244
2020-06-16 16:13:52:388	288	0.2898864
2020-06-16 16:13:53:398	290	0.348105
2020-06-16 16:13:54:389	286	0.3926336
2020-06-16 16:13:55:388	282	0.4105387
2020-06-16 16:13:56:379	283	0.4100507
2020-06-16 16:13:57:386	297	0.3895382
2020-06-16 16:13:58:395	304	0.3765409
2020-06-16 16:13:59:386	301	0.2837296
2020-06-16 16:14:00:398	300	0.2266823
2020-06-16 16:14:01:389	300	0.22612
2020-06-16 16:14:02:399	300	0.2045159
2020-06-16 16:14:03:388	291	0.2909375
2020-06-16 16:14:04:395	297	0.3030108
2020-06-16 16:51:05:444	294	0.3207799
2020-06-16 16:51:06:446	284	0.4199939
2020-06-16 16:51:07:439	271	0.4082063
2020-06-16 16:51:08:429	256	0.3211861
2020-06-16 16:51:09:438	249	0.2189586
2020-06-16 16:51:10:431	249	0
2020-06-16 16:51:11:468	249	0
2020-06-16 16:51:12:446	295	0.263664
2020-06-16 16:51:13:440	290	0.2960009
2020-06-16 16:51:14:446	285	0.3197867
2020-06-16 16:51:15:439	279	0.3314329
2020-06-16 16:51:16:431	270	0.3054687
2020-06-16 16:51:17:439	279	0.2914477
2020-06-16 16:51:18:428	290	0.3482864
2020-06-16 16:51:19:436	289	0.4470192
2020-06-16 16:51:20:428	287	0.4530711
2020-06-16 16:51:21:436	295	0.3147773
2020-06-16 16:51:22:447	305	0.249154
2020-06-16 16:51:23:456	303	0.2771325
2020-06-16 16:51:24:442	282	0.324352
2020-06-16 16:51:25:428	269	0.3465936
2020-06-16 16:51:26:437	264	0.3532684
2020-06-16 16:51:27:428	259	0.284943
2020-06-16 16:51:28:437	256	0.2001718
2020-06-16 16:51:29:441	256	0.2490726
2020-06-16 16:51:30:440	260	0.2984133
2020-06-16 16:51:31:442	263	0.2333985
2020-06-16 16:51:32:449	278	0.2580052
2020-06-16 16:51:33:442	284	0.2999859
2020-06-16 16:51:34:497	286	0.2209415
2020-06-16 16:51:35:440	286	0.2157649
2020-06-16 16:55:16:594	280	0.2001127
2020-06-16 16:55:17:599	280	0
2020-06-16 16:55:18:591	280	0
2020-06-16 16:55:19:598	280	0
2020-06-16 16:55:20:589	280	0
2020-06-16 16:55:21:588	280	0
2020-06-16 16:55:22:592	280	0
2020-06-16 16:55:23:596	280	0
2020-06-16 16:55:24:588	280	0
2020-06-16 16:55:25:596	280	0
2020-06-16 16:55:26:588	280	0
2020-06-16 16:55:27:595	280	0
2020-06-16 16:55:28:604	280	0
2020-06-16 16:55:29:595	280	0
2020-06-16 16:55:30:587	280	0
2020-06-16 16:55:31:595	280	0
2020-06-16 16:55:32:588	280	0
2020-06-16 16:55:33:594	280	0
2020-06-16 16:55:34:591	280	0
2020-06-16 16:55:35:596	280	0
2020-06-16 16:55:36:603	280	0
2020-06-16 16:55:37:595	280	0
2020-06-16 16:55:38:590	280	0
2020-06-16 16:55:39:594	280	0
2020-06-16 16:55:40:587	280	0
2020-06-16 16:55:41:594	294	0.3580856
2020-06-16 16:55:42:603	288	0.3348526
2020-06-16 16:55:43:594	274	0.2374941
2020-06-16 16:55:44:601	274	0.2256631
2020-06-16 16:55:45:594	288	0.2463337
2020-06-16 16:55:46:586	291	0.255122
