Wind Monitoring Program V1.0
ȸ �� �� : (��)����
�ۼ����� : 2020�� 06�� 09�� 10:08:09


��¥/�ð� 	 Wind_Driction 	 Wind_Speed
2020-06-09 10:15:23:665	167	0
2020-06-09 10:15:24:675	167	0
2020-06-09 10:15:25:664	167	0
2020-06-09 10:15:26:668	167	0
2020-06-09 10:15:27:661	167	0
2020-06-09 10:15:28:647	167	0
2020-06-09 10:15:29:656	167	0
2020-06-09 10:15:30:659	167	0
2020-06-09 10:15:31:648	167	0
2020-06-09 10:15:32:658	167	0
2020-06-09 10:15:33:661	167	0
2020-06-09 10:15:34:651	167	0
2020-06-09 10:15:35:671	167	0
2020-06-09 10:15:36:665	167	0
2020-06-09 10:15:37:652	167	0
2020-06-09 10:15:38:657	167	0
2020-06-09 10:15:39:649	167	0
2020-06-09 10:15:40:654	167	0
2020-06-09 10:15:41:659	167	0
2020-06-09 10:15:42:665	167	0
2020-06-09 10:15:43:661	167	0
2020-06-09 10:15:44:646	167	0
2020-06-09 10:15:45:667	167	0
2020-06-09 10:15:46:658	167	0
2020-06-09 10:15:47:648	167	0
2020-06-09 10:15:48:654	167	0.2107462
2020-06-09 10:15:49:644	167	0
2020-06-09 10:15:50:648	167	0
2020-06-09 10:15:51:654	167	0
2020-06-09 10:15:52:660	167	0
2020-06-09 10:15:53:650	167	0
2020-06-09 10:15:54:657	167	0
2020-06-09 10:15:55:662	167	0
2020-06-09 10:15:56:652	167	0
2020-06-09 10:15:57:657	167	0
2020-06-09 10:15:58:652	167	0
2020-06-09 10:15:59:654	167	0
2020-06-09 10:16:00:659	167	0
2020-06-09 10:16:01:649	167	0
2020-06-09 10:16:02:655	167	0
2020-06-09 10:16:03:661	167	0
2020-06-09 10:16:04:650	167	0
2020-06-09 10:16:05:656	167	0
2020-06-09 10:16:06:662	167	0
2020-06-09 10:16:07:655	167	0
2020-06-09 10:16:08:657	167	0
2020-06-09 10:16:09:664	167	0
2020-06-09 10:16:10:654	167	0
2020-06-09 10:16:11:660	167	0
2020-06-09 10:16:12:669	167	0
2020-06-09 10:16:13:655	167	0
2020-06-09 10:16:14:660	167	0
2020-06-09 10:16:15:651	167	0
2020-06-09 10:16:16:657	167	0
2020-06-09 10:16:17:662	167	0
2020-06-09 10:16:18:654	167	0
2020-06-09 10:16:19:658	167	0
2020-06-09 10:16:20:651	167	0
2020-06-09 10:16:21:657	167	0
2020-06-09 10:16:22:644	167	0
2020-06-09 10:16:23:652	167	0.2009947
2020-06-09 10:16:24:657	167	0.196055
2020-06-09 10:16:25:648	167	0
2020-06-09 10:16:26:651	167	0
2020-06-09 10:16:27:643	167	0
2020-06-09 10:16:28:664	167	0
2020-06-09 10:16:29:653	167	0
2020-06-09 10:16:30:647	167	0
2020-06-09 10:16:31:649	167	0
2020-06-09 10:16:32:657	167	0
2020-06-09 10:16:33:646	167	0
2020-06-09 10:16:34:654	167	0
2020-06-09 10:16:35:656	167	0
2020-06-09 10:16:36:665	167	0
2020-06-09 10:16:37:655	167	0
2020-06-09 10:16:38:658	167	0
2020-06-09 10:16:39:652	167	0
2020-06-09 10:16:40:654	167	0
2020-06-09 10:16:41:660	167	0
2020-06-09 10:16:42:650	167	0.1919065
2020-06-09 10:16:43:661	167	0
2020-06-09 10:16:44:661	167	0
2020-06-09 10:16:45:653	167	0
2020-06-09 10:16:46:661	167	0
2020-06-09 10:16:47:663	167	0
2020-06-09 10:16:48:652	167	0
2020-06-09 10:16:49:658	167	0
2020-06-09 10:16:50:666	167	0
2020-06-09 10:16:51:654	167	0
2020-06-09 10:16:52:662	167	0
2020-06-09 10:16:53:666	167	0
2020-06-09 10:16:54:658	167	0
2020-06-09 10:16:55:666	167	0
2020-06-09 10:16:56:669	167	0
2020-06-09 10:16:57:659	167	0
2020-06-09 10:16:58:647	167	0
2020-06-09 10:16:59:654	167	0
2020-06-09 10:17:00:643	167	0
2020-06-09 10:17:01:665	167	0
2020-06-09 10:17:02:671	167	0
2020-06-09 10:17:03:664	167	0
2020-06-09 10:17:04:653	167	0
2020-06-09 10:17:05:656	167	0
2020-06-09 10:17:06:665	167	0
2020-06-09 10:17:07:668	167	0
2020-06-09 10:17:08:660	167	0
2020-06-09 10:17:09:664	167	0
2020-06-09 10:17:10:657	167	0
2020-06-09 10:17:11:660	167	0
2020-06-09 10:17:12:665	167	0
2020-06-09 10:17:13:675	167	0
2020-06-09 10:17:14:661	167	0
2020-06-09 10:17:15:652	167	0
2020-06-09 10:17:16:657	167	0
2020-06-09 10:17:17:647	167	0
2020-06-09 10:17:18:652	167	0
2020-06-09 10:17:19:659	167	0
2020-06-09 10:17:20:649	167	0
2020-06-09 10:17:21:655	167	0
2020-06-09 10:17:22:661	167	0
2020-06-09 10:17:23:669	167	0
2020-06-09 10:17:24:658	167	0
2020-06-09 10:17:25:663	167	0.1932986
2020-06-09 10:17:26:660	167	0
2020-06-09 10:17:27:658	167	0
2020-06-09 10:17:28:665	167	0
2020-06-09 10:17:29:654	167	0
2020-06-09 10:17:30:661	167	0
2020-06-09 10:17:31:669	167	0
2020-06-09 10:17:32:656	167	0
2020-06-09 10:17:33:661	167	0
2020-06-09 10:17:34:652	167	0
