Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 15일 16:16:24


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-15 16:20:45:021	35.3	20.5	0	0
2021-04-15 16:20:46:036	35.2	20.4	0	0
2021-04-15 16:20:47:034	35.2	20.4	0	0
2021-04-15 16:20:48:039	35.1	20.4	0	0
2021-04-15 16:20:49:039	35.2	20.4	0	0
2021-04-15 16:20:50:057	35.3	20.4	0	0
2021-04-15 16:20:51:039	35.3	20.3	0	0
2021-04-15 16:20:52:057	35.3	20.3	0	0
2021-04-15 16:20:53:059	35.3	20.4	0	0
2021-04-15 16:20:54:073	35.4	20.5	0	0
2021-04-15 16:20:55:049	35.4	20.5	0	0
2021-04-15 16:20:56:067	35.4	20.5	0	0
2021-04-15 16:20:57:066	35.3	20.5	0	0
2021-04-15 16:20:58:070	35.2	20.4	0	0
2021-04-15 16:20:59:073	35.2	20.4	0	0
2021-04-15 16:21:00:086	35.2	20.4	0	0
2021-04-15 16:21:01:095	35.2	20.3	0	0
2021-04-15 16:21:02:087	35.2	20.3	0	0
2021-04-15 16:21:03:087	35.2	20.3	0	0
2021-04-15 16:21:04:102	35.3	20.2	0	0
2021-04-15 16:21:05:102	35.3	20.2	0	0
2021-04-15 16:21:06:098	35.3	20.2	0	0
2021-04-15 16:21:07:097	35.4	20.3	0	0
2021-04-15 16:21:08:116	35.4	20.4	0	0
2021-04-15 16:21:09:110	35.4	20.5	0	0
2021-04-15 16:21:10:115	35.4	20.5	0	0
2021-04-15 16:21:11:118	35.4	20.5	0	0
2021-04-15 16:21:12:132	35.4	20.6	0	0
2021-04-15 16:21:13:116	35.4	20.5	0	0
2021-04-15 16:21:14:118	35.4	20.5	0	0
2021-04-15 16:21:15:140	35.4	20.5	0	0
2021-04-15 16:21:16:148	35.5	20.5	0	0
2021-04-15 16:21:17:140	35.5	20.5	0	0
2021-04-15 16:21:18:146	35.5	20.5	0	0
2021-04-15 16:21:19:148	35.5	20.5	0	0
2021-04-15 16:21:20:136	35.6	2	0	0
2021-04-15 16:21:21:155	35.6	20.6	0	0
2021-04-15 16:21:22:162	35.6	20.6	0	0
2021-04-15 16:21:23:165	35.6	20.6	0	0
2021-04-15 16:21:24:149	35.7	20.6	0	0
2021-04-15 16:21:25:165	35.6	20.6	0	0
2021-04-15 16:21:26:177	35.6	20.6	0	0
2021-04-15 16:21:27:177	35.7	20.6	0	0
2021-04-15 16:21:28:176	35.7	20.6	0	0
2021-04-15 16:21:29:187	35.6	20.5	0	0
2021-04-15 16:21:30:179	35.6	20.5	0	0
2021-04-15 16:21:32:191	35.5	20.5	0	0
2021-04-15 16:21:33:199	35.5	20.5	0	0
2021-04-15 16:21:34:207	35.5	20.5	0	0
2021-04-15 16:21:35:193	35.6	20.5	0	0
2021-04-15 16:21:36:208	35.6	20.5	0	0
2021-04-15 16:21:37:208	35.6	20.5	0	0
2021-04-15 16:21:38:223	35.6	20.5	0	0
2021-04-15 16:21:39:207	35.6	20.5	0	0
2021-04-15 16:21:40:215	35.6	20.5	0	0
2021-04-15 16:21:41:230	35.6	20.5	0	0
2021-04-15 16:21:42:230	35.6	20.5	0	0
2021-04-15 16:21:43:230	35.6	20.5	0	0
2021-04-15 16:21:44:224	35.7	20.5	0	0
2021-04-15 16:21:45:239	35.7	20.5	0	0
2021-04-15 16:21:47:239	35.7	20.5	0	0
2021-04-15 16:21:48:242	35.7	20.5	0	0
2021-04-15 16:21:49:257	35.7	20.5	0	0
2021-04-15 16:21:50:242	35.7	20.5	0	0
2021-04-15 16:21:51:257	35.7	20.5	0	0
2021-04-15 16:21:52:268	35.7	20.5	0	0
2021-04-15 16:21:53:270	35.8	20.5	0	0
2021-04-15 16:21:54:254	35.8	20.5	0	0
2021-04-15 16:21:55:272	35.7	20.5	0	0
2021-04-15 16:21:56:280	35.8	20.5	0	0
2021-04-15 16:21:57:284	35.7	20.5	0	0
2021-04-15 16:21:58:281	35.7	20.5	0	0
2021-04-15 16:21:59:282	35.8	20.5	0	0
2021-04-15 16:22:00:298	35.8	20.5	0	0
2021-04-15 16:22:01:288	35.8	20.5	0	0
2021-04-15 16:22:02:293	35.8	20.5	0	0
2021-04-15 16:22:03:302	35.8	20.6	0	0
2021-04-15 16:22:04:313	35.8	20.6	0	0
2021-04-15 16:22:05:292	35.8	20.6	0	0
2021-04-15 16:22:06:306	35.8	20.6	0	0
2021-04-15 16:22:07:322	35.9	20.6	0	0
2021-04-15 16:22:08:321	35.9	20.6	0	0
2021-04-15 16:22:09:318	35.9	20.6	0	0
2021-04-15 16:22:10:318	35.9	20.6	0	0
2021-04-15 16:22:11:334	35.9	20.6	0	0
2021-04-15 16:22:13:333	35.9	20.6	0	0
2021-04-15 16:22:14:333	35.9	20.6	0	0
2021-04-15 16:22:15:348	35.9	20.6	0	0
2021-04-15 16:22:16:332	35.9	20.6	0	0
2021-04-15 16:22:17:348	35.9	20.6	0	0
2021-04-15 16:22:18:358	35.9	20.6	0	0
2021-04-15 16:22:19:364	35.9	20.6	0	0
2021-04-15 16:22:20:348	35.9	20.6	0	0
2021-04-15 16:22:21:364	35.9	20.6	0	0
2021-04-15 16:22:22:363	35.9	20.6	0	0
2021-04-15 16:22:23:379	35.9	20.6	0	0
2021-04-15 16:22:24:363	35.9	20.6	0	0
2021-04-15 16:22:25:378	35.9	20.6	0	0
2021-04-15 16:22:26:388	35.9	20.6	0	0
2021-04-15 16:22:27:395	35.9	20.6	0	0
2021-04-15 16:22:28:382	36	20.6	0	0
2021-04-15 16:22:29:383	36	20.6	0	0
2021-04-15 16:22:30:398	36	20.6	0	0
2021-04-15 16:22:32:396	36	20.6	0	0
2021-04-15 16:22:33:411	36	20.6	0	0
2021-04-15 16:22:34:418	36	20.6	0	0
2021-04-15 16:22:35:396	36	20.6	0	0
2021-04-15 16:22:36:411	36	20.6	0	0
2021-04-15 16:22:37:411	36	20.6	0	0
2021-04-15 16:22:38:427	36	20.6	0	0
2021-04-15 16:22:39:426	36	20.6	0	0
2021-04-15 16:22:40:426	36	20.6	0	0
2021-04-15 16:22:41:439	36	20.6	0	0
2021-04-15 16:22:42:446	36	20.6	0	0
2021-04-15 16:22:43:442	36.1	20.6	0	0
2021-04-15 16:22:44:448	36.1	20.6	0	0
2021-04-15 16:22:45:451	36	20.6	0	0
2021-04-15 16:22:46:459	36.1	20.6	0	0
2021-04-15 16:22:47:445	36.1	20.6	0	0
2021-04-15 16:22:48:464	36.1	20.6	0	0
2021-04-15 16:22:49:462	36.1	20.6	0	0
2021-04-15 16:22:50:451	36.1	20.7	0	0
2021-04-15 16:22:51:471	36.1	20.6	0	0
2021-04-15 16:22:52:477	36.1	20.7	0	0
2021-04-15 16:22:53:472	36.1	20.7	0	0
2021-04-15 16:22:54:478	36.1	20.7	0	0
2021-04-15 16:22:55:487	36.1	20.7	0	0
2021-04-15 16:22:56:495	36.1	20.7	0	0
2021-04-15 16:22:57:503	36.1	20.7	0	0
2021-04-15 16:22:58:547	36.1	20.6	0	0
2021-04-15 16:22:59:502	36.1	20.6	0	0
2021-04-15 16:23:00:509	36.1	20.6	0	0
2021-04-15 16:23:01:511	36.2	20.6	0	0
2021-04-15 16:23:02:506	36.2	20.6	0	0
2021-04-15 16:23:03:515	36.2	20.6	0	0
2021-04-15 16:23:04:521	36.2	20.6	0	0
2021-04-15 16:23:05:532	36.2	20.6	0	0
2021-04-15 16:23:06:517	36.2	20.6	0	0
2021-04-15 16:23:07:532	36.2	20.6	0	0
2021-04-15 16:23:08:533	36.2	20.6	0	0
2021-04-15 16:23:10:539	36.2	20.6	0	0
2021-04-15 16:23:11:547	36.2	20.6	0	0
2021-04-15 16:23:12:547	36.2	20.6	0	0
2021-04-15 16:23:13:548	36.2	20.6	0	0
2021-04-15 16:23:14:555	36.2	20.6	0	0
2021-04-15 16:23:15:562	36.2	20.6	0	0
2021-04-15 16:23:16:568	36.2	20.6	0	0
2021-04-15 16:23:17:561	36.2	20.6	0	0
2021-04-15 16:23:18:569	36.2	20.6	0	0
2021-04-15 16:23:19:576	36.2	20.6	0	0
2021-04-15 16:23:20:584	36.2	20.6	0	0
2021-04-15 16:23:21:576	36.2	20.6	0	0
2021-04-15 16:23:22:571	36.2	20.6	0	0
2021-04-15 16:23:23:582	36.3	20.6	0	0
2021-04-15 16:23:24:598	36.3	20.6	0	0
2021-04-15 16:23:25:592	36.2	20.6	0	0
2021-04-15 16:23:26:599	36.2	20.6	0	0
2021-04-15 16:23:27:608	36.2	20.5	0	0
2021-04-15 16:23:28:616	36.3	20.5	0	0
2021-04-15 16:23:29:594	36.3	20.5	0	0
2021-04-15 16:23:30:614	36.3	20.5	0	0
2021-04-15 16:23:31:622	36.3	20.5	0	0
2021-04-15 16:23:32:630	36.3	20.5	0	0
2021-04-15 16:23:33:622	36.3	20.6	0	0
2021-04-15 16:23:34:631	36.3	20.5	0	0
2021-04-15 16:23:35:639	36.3	20.6	0	0
2021-04-15 16:23:36:645	36.2	20.6	0	0
2021-04-15 16:23:37:638	36.2	20.6	0	0
2021-04-15 16:23:38:644	36.2	20.6	0	0
2021-04-15 16:23:39:652	36.2	20.6	0	0
2021-04-15 16:23:41:650	36.2	20.6	0	0
2021-04-15 16:23:42:654	36.2	20.6	0	0
2021-04-15 16:23:43:668	36.2	20.6	0	0
2021-04-15 16:23:45:669	36.2	20.6	0	0
2021-04-15 16:23:46:676	36.3	20.7	0	0
2021-04-15 16:23:47:683	36.3	20.6	0	0
2021-04-15 16:23:48:675	36.3	20.6	0	0
2021-04-15 16:23:49:674	36.4	20.6	0	0
2021-04-15 16:23:50:689	36.4	20.6	0	0
2021-04-15 16:23:51:699	36.4	20.6	0	0
2021-04-15 16:23:52:690	36.5	20.6	0	0
2021-04-15 16:23:53:698	36.4	20.6	0	0
2021-04-15 16:23:54:706	36.4	20.5	0	0
2021-04-15 16:23:55:714	36.4	20.5	0	0
